name,train_mrr,val_mrr,mrr,hit@1,val_hit@1,recall@10,val_recall@10,ndcg@5
"bm25+expand_sel[k10,mean,h2,a0.02]",0.3466,0.3157,0.3343,0.2,0.1875,0.6,0.5625,0.3021
"bm25+expand_sel[k10,mean,h2,a0.05]",0.3501,0.317,0.3369,0.2,0.1875,0.6,0.5625,0.3034
"bm25+expand_sel[k10,mean,h2,a0.1]",0.3432,0.3188,0.3334,0.2,0.1875,0.6,0.5625,0.3047
"bm25+expand_sel[k10,mean,h2,a0.2]",0.3708,0.2765,0.3331,0.2,0.125,0.625,0.625,0.31
"bm25+expand_sel[k10,mean,h2,a0.3]",0.395,0.2795,0.3488,0.225,0.125,0.625,0.625,0.3273
"bm25+expand_sel[k10,mean,h2,a0.5]",0.3948,0.2581,0.3401,0.225,0.125,0.625,0.625,0.3213
"bm25+expand_sel[k10,mean,h2,a0.8]",0.3858,0.1907,0.3078,0.2,0.0625,0.625,0.625,0.2917
"bm25+expand_sel[k10,mean,h2,a1.2]",0.3014,0.1563,0.2434,0.125,0.0625,0.575,0.5,0.2316
"bm25+expand_sel[k10,mean,h2,a2.0]",0.2636,0.1341,0.2118,0.1,0.0625,0.475,0.375,0.2018
"bm25+expand_sel[k10,sym,h1,a0.02]",0.3456,0.3157,0.3337,0.2,0.1875,0.6,0.5625,0.3058
"bm25+expand_sel[k10,sym,h1,a0.05]",0.3471,0.3202,0.3363,0.2,0.1875,0.625,0.625,0.3095
"bm25+expand_sel[k10,sym,h1,a0.1]",0.3644,0.3213,0.3472,0.2,0.1875,0.625,0.625,0.3117
"bm25+expand_sel[k10,sym,h1,a0.2]",0.376,0.277,0.3364,0.2,0.125,0.625,0.625,0.3092
"bm25+expand_sel[k10,sym,h1,a0.3]",0.3855,0.2699,0.3393,0.2,0.125,0.65,0.625,0.3057
"bm25+expand_sel[k10,sym,h1,a0.5]",0.3502,0.2448,0.308,0.175,0.125,0.65,0.625,0.2745
"bm25+expand_sel[k10,sym,h1,a0.8]",0.272,0.2088,0.2467,0.125,0.125,0.55,0.4375,0.2345
"bm25+expand_sel[k10,sym,h1,a1.2]",0.164,0.1509,0.1587,0.025,0.0625,0.525,0.375,0.1548
"bm25+expand_sel[k10,sym,h1,a2.0]",0.1462,0.1289,0.1393,0.05,0.0625,0.4,0.375,0.121
"bm25+expand_sel[k10,sym,h2,a0.02]",0.3466,0.317,0.3348,0.2,0.1875,0.6,0.5625,0.3021
"bm25+expand_sel[k10,sym,h2,a0.05]",0.3504,0.319,0.3378,0.2,0.1875,0.6,0.5625,0.3034
"bm25+expand_sel[k10,sym,h2,a0.1]",0.3573,0.3205,0.3426,0.2,0.1875,0.625,0.625,0.3096
"bm25+expand_sel[k10,sym,h2,a0.2]",0.3741,0.3196,0.3523,0.225,0.1875,0.625,0.625,0.3208
"bm25+expand_sel[k10,sym,h2,a0.3]",0.3779,0.2621,0.3316,0.2,0.125,0.625,0.625,0.3127
"bm25+expand_sel[k10,sym,h2,a0.5]",0.3779,0.2529,0.3279,0.2,0.125,0.625,0.625,0.3203
"bm25+expand_sel[k10,sym,h2,a0.8]",0.3794,0.2558,0.33,0.2,0.125,0.625,0.625,0.3074
"bm25+expand_sel[k10,sym,h2,a1.2]",0.3392,0.2014,0.2841,0.15,0.0625,0.6,0.5625,0.2765
"bm25+expand_sel[k10,sym,h2,a2.0]",0.245,0.1861,0.2214,0.075,0.0625,0.575,0.5,0.2342
"bm25+expand_sel[k30,sum,h1,a0.02]",0.3575,0.3201,0.3426,0.2,0.1875,0.6,0.5625,0.3103
"bm25+expand_sel[k30,sum,h1,a0.05]",0.3893,0.3241,0.3632,0.225,0.1875,0.625,0.625,0.3199
"bm25+expand_sel[k30,sum,h1,a0.1]",0.411,0.3249,0.3765,0.25,0.1875,0.625,0.625,0.331
"bm25+expand_sel[k30,sum,h1,a0.2]",0.4301,0.3368,0.3928,0.275,0.1875,0.625,0.625,0.3496
"bm25+expand_sel[k30,sum,h1,a0.3]",0.4456,0.3019,0.3881,0.275,0.125,0.65,0.625,0.348
"bm25+expand_sel[k30,sum,h1,a0.5]",0.4356,0.3412,0.3978,0.3,0.1875,0.6,0.5625,0.3565
"bm25+expand_sel[k30,sum,h1,a0.8]",0.3581,0.3192,0.3425,0.225,0.1875,0.55,0.5,0.3392
"bm25+expand_sel[k30,sum,h1,a1.2]",0.2989,0.2792,0.291,0.175,0.1875,0.525,0.5,0.2926
"bm25+expand_sel[k30,sum,h1,a2.0]",0.2135,0.1909,0.2044,0.075,0.0625,0.425,0.375,0.2209
